participant_id,n_clicks,nll,aic,bic,accuracy,converged,fit_time_s,k_field,omega_base,zeta,m0,gain,a_sensitivity,temperature
mmh19xdldph9gc,949,497.81551763716874,1009.6310352743375,1043.618896864607,0.7629083245521602,False,262.7887499332428,3.119269059340699,1.239614294177143,2.0844820495953096,9.717431586837062,0.009691203150095275,0.3,0.1908532201625323
mmh1cyh065lsoj,1024,679.9132630811968,1373.8265261623935,1408.3468288015897,0.5712890625,True,242.77986526489258,6.50774614431368,0.43369524328452747,0.2667472470957395,7.78903588474912,0.0,3.0,0.8749369169812777
mmh1eq08p9ct0c,1084,665.5043173832788,1345.0086347665576,1379.9275270405549,0.6512915129151291,False,284.3938019275665,5.746564755712342,1.1865952116817307,3.4242755681531563,9.690847722184781,0.0,0.3,0.3553918649037267
mmh1jfrxwrc2n9,517,314.600513057984,643.201026115968,672.937326237527,0.6692456479690522,True,230.74707007408142,6.852769532830495,0.33602974196213314,4.999574726443083,0.5,5.573077046509875,3.0,0.09915186452964353
mmh1qje9iflk26,914,609.5729664488912,1233.1459328977824,1266.8707468979615,0.5897155361050328,True,235.69560408592224,3.9945371569262598,1.5120026869934549,0.1,9.997940211077303,0.0011223682213870234,2.0550660439302386,0.5684545924195897
mmh1sestivd4ky,1133,647.7113820825427,1309.4227641650855,1344.6511339922815,0.6884377758164166,False,285.16741394996643,5.5085644393852835,0.41897239230703875,1.5694388204307672,7.873997293960643,0.0,0.46812840082110346,0.2734210509455376
mmh1tezpvosjbe,959,619.5670321762882,1253.1340643525764,1287.1953018767604,0.6381647549530761,True,177.82445812225342,9.556547436462635,1.9845894493957863,4.8627626399577775,5.904930625205919,0.07824656071718467,1.050572089584672,0.8065736708499919
mmh1wzqpw76n7q,847,492.3373924748515,998.674784949703,1031.8666898122674,0.6835891381345927,False,262.24367117881775,7.0127179776399196,0.9523432464485979,0.8272260819483978,9.848146192648096,0.0,1.3662035916799256,0.4325186073413769
mmh250jgfc38xs,822,525.2257786246304,1064.4515572492608,1097.433740014654,0.6192214111922141,True,173.8933608531952,9.175729363111937,0.9463039826069316,1.0432405742654098,7.946188986188711,0.05656013986814098,2.2454017219176237,0.6701278158094603
mmh28cu8c2h59x,823,550.8903072312675,1115.780614462535,1148.7713078672743,0.5868772782503038,False,257.6762340068817,8.175625628428241,0.10731110896176572,0.5793561965953918,9.634331415524223,0.11968609338061577,3.0,1.0
